9685 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.PointsWriteManageImpl@68ead359]
9686 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'pointsWriteManage'
9686 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'positionWriteManage'
9687 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'positionWriteManage'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9687 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9688 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.PositionWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.UPositionDAOWrite com.people2000.user.business.write.manage.impl.PositionWriteManageImpl.positionDAOWrite
9688 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'positionWriteManage' to allow for resolving potential circular references
9690 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'positionWriteManage': ResourceElement for private com.people2000.user.business.write.dao.UPositionDAOWrite com.people2000.user.business.write.manage.impl.PositionWriteManageImpl.positionDAOWrite
9690 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'positionDAOWrite'
9690 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9690 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9690 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9690 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9691 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9692 DEBUG [2018-06-25 10:58:39]  Creating implicit proxy for bean 'positionWriteManage' with 0 common interceptors and 4 specific interceptors
9693 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.PositionWriteManageImpl@4d722ac9]
9694 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'positionWriteManage'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'pushMessageWriteManage'
9695 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'roleFunctionWriteManage'
9695 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'roleFunctionWriteManage'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9695 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9695 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.RoleFunctionWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.ext.RoleFunctionDAOWrite2 com.people2000.user.business.write.manage.impl.RoleFunctionWriteManageImpl.roleFunctionDAOWrite
9696 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'roleFunctionWriteManage' to allow for resolving potential circular references
9697 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'roleFunctionWriteManage': ResourceElement for private com.people2000.user.business.write.dao.ext.RoleFunctionDAOWrite2 com.people2000.user.business.write.manage.impl.RoleFunctionWriteManageImpl.roleFunctionDAOWrite
9697 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'roleFunctionDAOWrite'
